,cases,collision_date
0,1000,2001-01-01
1,1330,2001-01-02
2,1329,2001-01-03
3,1346,2001-01-04
4,1457,2001-01-05
5,1102,2001-01-06
6,893,2001-01-07
7,2067,2001-01-08
8,1469,2001-01-09
9,2035,2001-01-10
10,1879,2001-01-11
11,1769,2001-01-12
12,1222,2001-01-13
13,924,2001-01-14
14,1145,2001-01-15
15,1551,2001-01-16
16,1303,2001-01-17
17,1279,2001-01-18
18,1388,2001-01-19
19,1145,2001-01-20
20,928,2001-01-21
21,1316,2001-01-22
22,1539,2001-01-23
23,1772,2001-01-24
24,1568,2001-01-25
25,1974,2001-01-26
26,1246,2001-01-27
27,1041,2001-01-28
28,1321,2001-01-29
29,1302,2001-01-30
30,1327,2001-01-31
31,1317,2001-02-01
32,1535,2001-02-02
33,1352,2001-02-03
34,1117,2001-02-04
35,1504,2001-02-05
36,1365,2001-02-06
37,1420,2001-02-07
38,1383,2001-02-08
39,1925,2001-02-09
40,1743,2001-02-10
41,1322,2001-02-11
42,1834,2001-02-12
43,1714,2001-02-13
44,1556,2001-02-14
45,1244,2001-02-15
46,1494,2001-02-16
47,1308,2001-02-17
48,1073,2001-02-18
49,1342,2001-02-19
50,1479,2001-02-20
51,1324,2001-02-21
52,1446,2001-02-22
53,1660,2001-02-23
54,1605,2001-02-24
55,1429,2001-02-25
56,1349,2001-02-26
57,1460,2001-02-27
58,1510,2001-02-28
59,1420,2001-03-01
60,1586,2001-03-02
61,1303,2001-03-03
62,1248,2001-03-04
63,1561,2001-03-05
64,1429,2001-03-06
65,1306,2001-03-07
66,1239,2001-03-08
67,1607,2001-03-09
68,1300,2001-03-10
69,964,2001-03-11
70,1307,2001-03-12
71,1343,2001-03-13
72,1365,2001-03-14
73,1312,2001-03-15
74,1693,2001-03-16
75,1338,2001-03-17
76,1257,2001-03-18
77,1519,2001-03-19
78,1424,2001-03-20
79,1298,2001-03-21
80,1316,2001-03-22
81,1552,2001-03-23
82,1468,2001-03-24
83,1088,2001-03-25
84,1393,2001-03-26
85,1423,2001-03-27
86,1317,2001-03-28
87,1438,2001-03-29
88,1651,2001-03-30
89,1378,2001-03-31
90,1060,2001-04-01
91,1373,2001-04-02
92,1417,2001-04-03
93,1364,2001-04-04
94,1388,2001-04-05
95,1994,2001-04-06
96,1992,2001-04-07
97,1091,2001-04-08
98,1493,2001-04-09
99,1348,2001-04-10
100,1279,2001-04-11
101,1432,2001-04-12
102,1504,2001-04-13
103,1273,2001-04-14
104,1173,2001-04-15
105,1356,2001-04-16
106,1305,2001-04-17
107,1328,2001-04-18
108,1354,2001-04-19
109,2180,2001-04-20
110,1434,2001-04-21
111,1082,2001-04-22
112,1394,2001-04-23
113,1431,2001-04-24
114,1379,2001-04-25
115,1410,2001-04-26
116,1530,2001-04-27
117,1248,2001-04-28
118,1111,2001-04-29
119,1390,2001-04-30
120,1473,2001-05-01
121,1303,2001-05-02
122,1441,2001-05-03
123,1663,2001-05-04
124,1431,2001-05-05
125,1156,2001-05-06
126,1398,2001-05-07
127,1526,2001-05-08
128,1383,2001-05-09
129,1440,2001-05-10
130,1573,2001-05-11
131,1256,2001-05-12
132,1069,2001-05-13
133,1296,2001-05-14
134,1325,2001-05-15
135,1330,2001-05-16
136,1451,2001-05-17
137,1594,2001-05-18
138,1264,2001-05-19
139,1243,2001-05-20
140,1353,2001-05-21
141,1378,2001-05-22
142,1397,2001-05-23
143,1398,2001-05-24
144,1657,2001-05-25
145,1287,2001-05-26
146,1104,2001-05-27
147,998,2001-05-28
148,1427,2001-05-29
149,1426,2001-05-30
150,1438,2001-05-31
151,1605,2001-06-01
152,1323,2001-06-02
153,1115,2001-06-03
154,1398,2001-06-04
155,1415,2001-06-05
156,1381,2001-06-06
157,1525,2001-06-07
158,1695,2001-06-08
159,1370,2001-06-09
160,1174,2001-06-10
161,1340,2001-06-11
162,1383,2001-06-12
163,1493,2001-06-13
164,1567,2001-06-14
165,1816,2001-06-15
166,1481,2001-06-16
167,1158,2001-06-17
168,1521,2001-06-18
169,1449,2001-06-19
170,1493,2001-06-20
171,1512,2001-06-21
172,1647,2001-06-22
173,1382,2001-06-23
174,1158,2001-06-24
175,1528,2001-06-25
176,1365,2001-06-26
177,1418,2001-06-27
178,1492,2001-06-28
179,1660,2001-06-29
180,1493,2001-06-30
181,1107,2001-07-01
182,1385,2001-07-02
183,1529,2001-07-03
184,1104,2001-07-04
185,1399,2001-07-05
186,1432,2001-07-06
187,1172,2001-07-07
188,1082,2001-07-08
189,1358,2001-07-09
190,1345,2001-07-10
191,1365,2001-07-11
192,1374,2001-07-12
193,1619,2001-07-13
194,1325,2001-07-14
195,1098,2001-07-15
196,1324,2001-07-16
197,1330,2001-07-17
198,1426,2001-07-18
199,1414,2001-07-19
200,1553,2001-07-20
201,1371,2001-07-21
202,1220,2001-07-22
203,1361,2001-07-23
204,1402,2001-07-24
205,1344,2001-07-25
206,1416,2001-07-26
207,1540,2001-07-27
208,1319,2001-07-28
209,1100,2001-07-29
210,1336,2001-07-30
211,1398,2001-07-31
212,1425,2001-08-01
213,1504,2001-08-02
214,1618,2001-08-03
215,1424,2001-08-04
216,1215,2001-08-05
217,1465,2001-08-06
218,1462,2001-08-07
219,1378,2001-08-08
220,1355,2001-08-09
221,1625,2001-08-10
222,1398,2001-08-11
223,1202,2001-08-12
224,1461,2001-08-13
225,1441,2001-08-14
226,1457,2001-08-15
227,1472,2001-08-16
228,1711,2001-08-17
229,1437,2001-08-18
230,1183,2001-08-19
231,1460,2001-08-20
232,1514,2001-08-21
233,1423,2001-08-22
234,1472,2001-08-23
235,1701,2001-08-24
236,1441,2001-08-25
237,1181,2001-08-26
238,1409,2001-08-27
239,1415,2001-08-28
240,1441,2001-08-29
241,1559,2001-08-30
242,1693,2001-08-31
243,1377,2001-09-01
244,1182,2001-09-02
245,975,2001-09-03
246,1639,2001-09-04
247,1648,2001-09-05
248,1487,2001-09-06
249,1694,2001-09-07
250,1260,2001-09-08
251,1037,2001-09-09
252,1427,2001-09-10
253,1078,2001-09-11
254,1374,2001-09-12
255,1390,2001-09-13
256,1705,2001-09-14
257,1394,2001-09-15
258,1066,2001-09-16
259,1365,2001-09-17
260,1380,2001-09-18
261,1333,2001-09-19
262,1369,2001-09-20
263,1679,2001-09-21
264,1328,2001-09-22
265,1077,2001-09-23
266,1611,2001-09-24
267,1620,2001-09-25
268,1659,2001-09-26
269,1483,2001-09-27
270,1864,2001-09-28
271,1476,2001-09-29
272,1205,2001-09-30
273,1534,2001-10-01
274,1500,2001-10-02
275,1518,2001-10-03
276,1505,2001-10-04
277,1672,2001-10-05
278,1345,2001-10-06
279,1046,2001-10-07
280,1262,2001-10-08
281,1462,2001-10-09
282,1566,2001-10-10
283,1440,2001-10-11
284,1801,2001-10-12
285,1550,2001-10-13
286,1249,2001-10-14
287,1456,2001-10-15
288,1451,2001-10-16
289,1562,2001-10-17
290,1657,2001-10-18
291,1679,2001-10-19
292,1379,2001-10-20
293,1207,2001-10-21
294,1497,2001-10-22
295,1454,2001-10-23
296,1479,2001-10-24
297,1623,2001-10-25
298,1830,2001-10-26
299,1449,2001-10-27
300,1140,2001-10-28
301,1437,2001-10-29
302,2089,2001-10-30
303,1680,2001-10-31
304,1572,2001-11-01
305,1737,2001-11-02
306,1394,2001-11-03
307,1366,2001-11-04
308,1581,2001-11-05
309,1434,2001-11-06
310,1533,2001-11-07
311,1620,2001-11-08
312,1725,2001-11-09
313,1689,2001-11-10
314,1359,2001-11-11
315,1733,2001-11-12
316,1596,2001-11-13
317,1625,2001-11-14
318,1575,2001-11-15
319,1747,2001-11-16
320,1364,2001-11-17
321,1057,2001-11-18
322,1481,2001-11-19
323,1550,2001-11-20
324,1927,2001-11-21
325,1090,2001-11-22
326,1184,2001-11-23
327,1893,2001-11-24
328,982,2001-11-25
329,1462,2001-11-26
330,1507,2001-11-27
331,1551,2001-11-28
332,1780,2001-11-29
333,1775,2001-11-30
334,1550,2001-12-01
335,1351,2001-12-02
336,1699,2001-12-03
337,1588,2001-12-04
338,1772,2001-12-05
339,1576,2001-12-06
340,1879,2001-12-07
341,1466,2001-12-08
342,1196,2001-12-09
343,1476,2001-12-10
344,1529,2001-12-11
345,1548,2001-12-12
346,1639,2001-12-13
347,2264,2001-12-14
348,1506,2001-12-15
349,1126,2001-12-16
350,1651,2001-12-17
351,1633,2001-12-18
352,1591,2001-12-19
353,2082,2001-12-20
354,2235,2001-12-21
355,1500,2001-12-22
356,1157,2001-12-23
357,1218,2001-12-24
358,867,2001-12-25
359,1169,2001-12-26
360,1210,2001-12-27
361,1615,2001-12-28
362,1668,2001-12-29
363,1097,2001-12-30
364,1056,2001-12-31
365,1070,2002-01-01
366,1541,2002-01-02
367,1473,2002-01-03
368,1446,2002-01-04
369,1160,2002-01-05
370,911,2002-01-06
371,1307,2002-01-07
372,1355,2002-01-08
373,1325,2002-01-09
374,1548,2002-01-10
375,1678,2002-01-11
376,1265,2002-01-12
377,1116,2002-01-13
378,1366,2002-01-14
379,1450,2002-01-15
380,1470,2002-01-16
381,1482,2002-01-17
382,1790,2002-01-18
383,1284,2002-01-19
384,1043,2002-01-20
385,1269,2002-01-21
386,1383,2002-01-22
387,1445,2002-01-23
388,1549,2002-01-24
389,1573,2002-01-25
390,1554,2002-01-26
391,1415,2002-01-27
392,1815,2002-01-28
393,1572,2002-01-29
394,1480,2002-01-30
395,1390,2002-01-31
396,1640,2002-02-01
397,1339,2002-02-02
398,1123,2002-02-03
399,1461,2002-02-04
400,1573,2002-02-05
401,1434,2002-02-06
402,1626,2002-02-07
403,1743,2002-02-08
404,1367,2002-02-09
405,1078,2002-02-10
406,1382,2002-02-11
407,1410,2002-02-12
408,1568,2002-02-13
409,1631,2002-02-14
410,1623,2002-02-15
