,cases,month
0,42967,2001-01
1,40810,2001-02
2,42843,2001-03
3,42113,2001-04
4,42478,2001-05
5,43357,2001-06
6,41548,2001-07
7,44942,2001-08
8,42182,2001-09
9,46519,2001-10
10,45889,2001-11
11,46914,2001-12
12,43525,2002-01
13,40758,2002-02
14,46258,2002-03
15,43635,2002-04
16,46979,2002-05
17,44506,2002-06
18,44806,2002-07
19,45878,2002-08
20,46716,2002-09
21,47736,2002-10
22,46554,2002-11
23,47390,2002-12
24,41760,2003-01
25,40268,2003-02
26,43723,2003-03
27,43744,2003-04
28,45546,2003-05
29,43498,2003-06
30,44896,2003-07
31,45830,2003-08
32,45559,2003-09
33,49519,2003-10
34,46078,2003-11
35,48533,2003-12
36,42936,2004-01
37,43876,2004-02
38,45362,2004-03
39,43695,2004-04
40,44564,2004-05
41,43094,2004-06
42,45075,2004-07
43,45431,2004-08
44,45646,2004-09
45,48058,2004-10
46,43573,2004-11
47,46985,2004-12
48,43068,2005-01
49,41393,2005-02
50,45308,2005-03
51,43297,2005-04
52,44808,2005-05
53,43454,2005-06
54,44317,2005-07
55,45321,2005-08
56,44173,2005-09
57,46661,2005-10
58,44878,2005-11
59,46047,2005-12
60,43115,2006-01
61,41208,2006-02
62,45163,2006-03
63,40935,2006-04
64,42789,2006-05
65,42212,2006-06
66,40792,2006-07
67,28346,2006-08
68,39688,2006-09
69,46053,2006-10
70,44280,2006-11
71,44265,2006-12
72,40243,2007-01
73,38996,2007-02
74,43894,2007-03
75,40881,2007-04
76,42016,2007-05
77,42029,2007-06
78,41692,2007-07
79,43108,2007-08
80,42191,2007-09
81,44116,2007-10
82,41036,2007-11
83,41706,2007-12
84,39635,2008-01
85,38301,2008-02
86,38992,2008-03
87,37470,2008-04
88,38408,2008-05
89,35544,2008-06
90,35243,2008-07
91,36734,2008-08
92,36389,2008-09
93,39174,2008-10
94,37212,2008-11
95,39493,2008-12
96,35062,2009-01
97,34480,2009-02
98,36648,2009-03
99,35239,2009-04
100,36916,2009-05
101,34202,2009-06
102,35161,2009-07
103,34508,2009-08
104,35555,2009-09
105,37835,2009-10
106,34562,2009-11
107,36060,2009-12
108,32892,2010-01
109,31918,2010-02
110,35803,2010-03
111,34416,2010-04
112,34862,2010-05
113,33367,2010-06
114,33645,2010-07
115,34620,2010-08
116,34957,2010-09
117,37480,2010-10
118,35460,2010-11
119,37070,2010-12
120,31953,2011-01
121,32018,2011-02
122,34620,2011-03
123,31418,2011-04
124,33436,2011-05
125,32048,2011-06
126,33140,2011-07
127,34441,2011-08
128,34366,2011-09
129,36775,2011-10
130,34625,2011-11
131,34789,2011-12
132,32565,2012-01
133,31629,2012-02
134,35139,2012-03
135,32564,2012-04
136,33627,2012-05
137,31737,2012-06
138,31699,2012-07
139,33546,2012-08
140,32390,2012-09
141,35142,2012-10
142,33509,2012-11
143,32354,2012-12
144,30546,2013-01
145,28759,2013-02
146,33026,2013-03
147,31174,2013-04
148,33306,2013-05
149,31624,2013-06
150,31267,2013-07
151,32801,2013-08
152,32749,2013-09
153,34300,2013-10
154,32482,2013-11
155,31806,2013-12
156,30739,2014-01
157,30676,2014-02
158,32603,2014-03
159,31713,2014-04
160,33680,2014-05
161,31552,2014-06
162,31663,2014-07
163,34291,2014-08
164,35037,2014-09
165,37679,2014-10
166,34509,2014-11
167,35423,2014-12
168,33413,2015-01
169,33068,2015-02
170,36347,2015-03
171,35563,2015-04
172,35603,2015-05
173,34430,2015-06
174,35093,2015-07
175,36885,2015-08
176,36268,2015-09
177,41305,2015-10
178,39206,2015-11
179,40988,2015-12
180,37361,2016-01
181,38249,2016-02
182,41868,2016-03
183,39948,2016-04
184,40630,2016-05
185,39827,2016-06
186,40418,2016-07
187,42175,2016-08
188,42290,2016-09
189,44470,2016-10
190,41822,2016-11
191,42561,2016-12
192,39686,2017-01
193,36126,2017-02
194,41960,2017-03
195,39304,2017-04
196,41291,2017-05
197,40117,2017-06
198,39697,2017-07
199,41066,2017-08
200,40799,2017-09
201,44315,2017-10
202,41612,2017-11
203,40459,2017-12
204,39048,2018-01
205,37234,2018-02
206,42298,2018-03
207,38553,2018-04
208,39976,2018-05
209,39381,2018-06
210,38702,2018-07
211,41109,2018-08
212,40636,2018-09
213,44119,2018-10
214,41431,2018-11
215,39809,2018-12
216,38565,2019-01
217,36617,2019-02
218,39971,2019-03
219,37045,2019-04
220,39047,2019-05
221,37364,2019-06
222,37953,2019-07
223,41142,2019-08
224,40004,2019-09
225,42575,2019-10
226,40550,2019-11
227,39519,2019-12
228,35896,2020-01
229,35368,2020-02
230,29478,2020-03
231,19985,2020-04
232,25098,2020-05
233,27456,2020-06
234,30200,2020-07
235,32164,2020-08
236,32124,2020-09
237,34988,2020-10
238,32455,2020-11
239,31205,2020-12
240,28526,2021-01
241,26376,2021-02
242,31262,2021-03
243,28249,2021-04
244,18255,2021-05
245,102,2021-06
