,case_id,collision_year,collision_date,dayofweek,collision_time,is_rush_hour,county_location,latitude,longitude,primary_road,weather_1,road_surface,lighting,vehicle_caused_fault,collision_degree
0,90012669,2015,2015-08-23,Sun,13,rush,los angeles,34.79668,-118.86758,I-5,clear,dry,daylight,orther,not serious
1,90012695,2015,2015-08-25,Tue,12,rush,los angeles,34.79472,-118.84934,I-5,clear,dry,daylight,orther,not serious
2,90020256,2015,2015-09-21,Mon,4,rush,los angeles,34.81509,-118.88432,I-5,clear,dry,dark with no street lights,truck,not serious
3,90020382,2015,2015-09-13,Sun,13,rush,los angeles,34.79749,-118.86913,I-5,clear,dry,daylight,truck,injured
4,90020915,2015,2015-09-13,Sun,5,rush,los angeles,34.79529,-118.85543,I-5,clear,dry,dark with no street lights,orther,injured
5,90023602,2015,2015-08-20,Thu,12,rush,los angeles,,,I-5,clear,dry,daylight,orther,not serious
6,90024026,2015,2015-09-29,Tue,6,rush,los angeles,34.07685,-117.90462,I-10,clear,dry,dark with street lights,orther,not serious
7,90024126,2015,2015-09-23,Wed,17,rush,los angeles,34.14858,-118.05524,I-210,clear,dry,daylight,orther,not serious
8,90024153,2015,2015-09-29,Tue,6,rush,los angeles,34.32434,-118.50273,I-5,clear,dry,dark with no street lights,orther,not serious
9,90024176,2015,2015-09-29,Tue,7,rush,los angeles,33.4741,-118.0617,I-405,clear,dry,daylight,truck,not serious
10,90024180,2015,2015-09-29,Tue,11,rush,los angeles,33.31243,-118.16428,I-405,clear,dry,daylight,orther,not serious
11,90024189,2015,2015-09-29,Tue,17,rush,los angeles,33.80255,-118.11805,I-405,clear,dry,daylight,orther,injured
12,90024205,2015,2015-09-28,Mon,5,rush,los angeles,33.92928,-118.2276,I-105,clear,dry,dusk or dawn,orther,not serious
13,90024262,2015,2015-09-29,Tue,10,rush,los angeles,33.92864,-118.25163,I-105,clear,dry,daylight,orther,not serious
14,90024378,2015,2015-09-27,Sun,12,rush,los angeles,34.0687,-118.03999,I-10,clear,dry,daylight,orther,not serious
15,90024532,2015,2015-09-29,Tue,17,rush,los angeles,34.13026,-117.94544,I-210,clear,dry,daylight,truck,not serious
16,90024552,2015,2015-09-29,Tue,17,rush,los angeles,34.07215,-117.9214,I-10,clear,dry,daylight,orther,injured
17,90024576,2015,2015-09-29,Tue,15,rush,los angeles,34.121,-117.89,I-210,clear,dry,daylight,orther,injured
18,90024614,2015,2015-09-24,Thu,7,rush,los angeles,34.07224,-117.95191,I-10,clear,dry,daylight,orther,not serious
19,90024681,2015,2015-09-29,Tue,16,rush,los angeles,34.35213,-118.54638,I-5,clear,dry,daylight,orther,not serious
20,90024686,2015,2015-09-29,Tue,17,rush,los angeles,34.26951,-118.47236,I-405,clear,dry,daylight,orther,injured
21,90024691,2015,2015-09-29,Tue,16,rush,los angeles,34.71452,-118.79835,I-5,clear,dry,daylight,orther,not serious
22,90024844,2015,2015-09-30,Wed,8,rush,los angeles,34.31552,-118.48954,I-5,clear,dry,daylight,motorcycle,not serious
23,90024851,2015,2015-09-29,Tue,10,rush,los angeles,34.16848,-118.15763,I-210,clear,dry,daylight,orther,not serious
24,90024856,2015,2015-10-01,Thu,6,rush,los angeles,34.31769,-118.49137,I-5,clear,dry,daylight,orther,not serious
25,90025034,2015,2015-09-29,Tue,18,rush,los angeles,34.23434,-118.40612,I-5,clear,dry,dusk or dawn,orther,injured
26,90025038,2015,2015-09-29,Tue,7,rush,los angeles,34.22107,-118.24533,I-210,clear,dry,daylight,truck,not serious
27,90025042,2015,2015-09-30,Wed,9,rush,los angeles,33.802,-118.115,I-405,clear,dry,daylight,orther,not serious
28,90025113,2015,2015-10-01,Thu,7,rush,los angeles,34.07238,-117.93054,I-10,clear,dry,daylight,truck,not serious
29,90025121,2015,2015-09-29,Tue,9,rush,los angeles,34.06576,-117.96958,I-10,clear,dry,daylight,truck,not serious
30,90025124,2015,2015-09-30,Wed,6,rush,los angeles,34.07086,-117.95964,I-10,clear,dry,daylight,orther,not serious
31,90025134,2015,2015-09-30,Wed,6,rush,los angeles,34.06841,-117.97164,I-10,clear,dry,daylight,orther,not serious
32,90025142,2015,2015-09-29,Tue,6,rush,los angeles,34.07028,-117.50469,I-210,clear,dry,daylight,orther,injured
33,90025147,2015,2015-09-30,Wed,12,rush,los angeles,34.04404,-117.59537,I-605,clear,dry,daylight,orther,not serious
34,90025159,2015,2015-10-01,Thu,8,rush,los angeles,34.06598,-117.99292,I-10,clear,dry,daylight,orther,injured
35,90025264,2015,2015-09-26,Sat,10,rush,los angeles,34.06281,-118.1982,I-10,clear,dry,daylight,orther,not serious
36,90025267,2015,2015-09-30,Wed,9,rush,los angeles,33.99602,-118.1464,I-5,clear,dry,daylight,truck,not serious
37,90025271,2015,2015-10-01,Thu,5,rush,los angeles,34.00832,-118.17226,I-710,clear,dry,dark with no street lights,orther,not serious
38,90025279,2015,2015-10-01,Thu,16,rush,los angeles,34.04174,-118.17032,I-710,clear,dry,daylight,orther,injured
39,90025338,2015,2015-09-24,Thu,8,rush,los angeles,34.16824,-118.4689,I-405,clear,dry,daylight,orther,not serious
40,90025403,2015,2015-09-29,Tue,17,rush,los angeles,34.40075,-118.57268,I-5,clear,dry,daylight,orther,not serious
41,90025544,2015,2015-09-30,Wed,8,rush,los angeles,34.11777,-117.85574,I-210,clear,dry,daylight,orther,not serious
42,90025578,2015,2015-09-26,Sat,10,rush,los angeles,34.79462,-118.85249,I-5,clear,dry,daylight,orther,not serious
43,90025747,2015,2015-10-04,Sun,6,rush,los angeles,34.58581,-118.71079,I-5,raining,wet,dark with street lights,orther,not serious
44,90025753,2015,2015-10-03,Sat,13,rush,los angeles,34.74317,-118.79669,I-5,clear,dry,daylight,orther,not serious
45,90025804,2015,2015-09-15,Tue,4,rush,los angeles,34.33581,-118.50772,I-5,cloudy,wet,dark with no street lights,truck,injured
46,90025843,2015,2015-09-30,Wed,21,not,los angeles,34.26856,-118.44499,I-5,clear,dry,dark with street lights,orther,injured
47,90025931,2015,2015-09-30,Wed,8,rush,los angeles,33.863,-118.199,I-710,clear,dry,daylight,orther,not serious
48,90025958,2015,2015-10-01,Thu,8,rush,los angeles,33.797,-118.108,I-405,clear,dry,daylight,orther,not serious
49,90025982,2015,2015-09-30,Wed,9,rush,los angeles,33.91672,-118.28701,I-110,clear,dry,daylight,truck,not serious
