Latitude,Longitude
34.12508,-117.69171
34.12494,-117.69186
34.12151,-117.69461
34.12126,-117.69469
34.12139,-117.6957
34.12156,-117.69584
34.12283,-117.69587
34.12118,-117.69601
34.1214,-117.69661
34.12151,-117.69681
34.1207,-117.69904
34.12034,-117.69993
34.12044,-117.69997
34.12041,-117.70021
34.12034,-117.70045
34.11998,-117.70136
34.12021,-117.7017
34.12019,-117.70183
34.1198,-117.70331
34.11998,-117.70581
34.11986,-117.70894
34.12023,-117.71147
34.11978,-117.71151
34.1201,-117.72045
34.12036,-117.72765
34.11995,-117.72959
34.12041,-117.73069
34.12012,-117.73243
34.12002,-117.7325
34.12057,-117.73293
34.12062,-117.73333
34.12045,-117.73401
34.12058,-117.73674
34.12029,-117.73703
34.12025,-117.74597
34.11994,-117.74842
34.11965,-117.75656
34.11937,-117.75695
34.11941,-117.7596
34.12088,-117.7615
34.11943,-117.76171
34.11865,-117.76176
34.119,-117.762
34.1286,-117.7632
34.11981,-117.76586
34.11958,-117.7662
34.11973,-117.76849
34.11947,-117.76892
34.11949,-117.77498
34.11963,-117.7752
34.11974,-117.77716
34.11983,-117.78387
34.1199,-117.7839
34.1201,-117.78615
34.11942,-117.78616
34.12018,-117.78619
34.12036,-117.78661
34.11973,-117.79056
34.11986,-117.79086
34.11976,-117.79226
34.11968,-117.79262
34.11966,-117.7929
34.11986,-117.79337
34.11967,-117.79502
34.1199,-117.7954
34.11937,-117.79701
34.11979,-117.79884
34.1199,-117.80033
34.11962,-117.80073
34.11967,-117.80224
34.11993,-117.80244
34.11962,-117.80388
34.11964,-117.80645
34.1199,-117.80701
34.11963,-117.80837
34.11972,-117.80846
34.11967,-117.80874
34.11989,-117.81123
34.11981,-117.8115
34.11978,-117.81184
34.1198,-117.81207
34.11993,-117.81214
34.1195,-117.8123
34.11995,-117.81234
34.1197,-117.81291
34.1198,-117.8133
34.11976,-117.81347
34.11981,-117.81348
34.1196,-117.81353
34.1199,-117.8138
34.11989,-117.81385
34.1197,-117.814
34.11966,-117.8141
34.11958,-117.81416
34.11945,-117.81418
34.11999,-117.81473
34.12001,-117.81514
34.12001,-117.81531
34.11963,-117.81562
34.11963,-117.81596
34.1198,-117.8164
34.12015,-117.81679
34.11983,-117.81826
34.11993,-117.81831
34.12014,-117.81841
34.11994,-117.81845
34.11954,-117.81877
34.12055,-117.81901
34.12019,-117.81913
34.1202,-117.81979
34.12037,-117.82009
34.1201,-117.82021
34.12015,-117.82067
34.12033,-117.82077
34.12045,-117.82089
34.12031,-117.82091
34.12037,-117.82093
34.1204,-117.821
34.1202,-117.82102
34.12007,-117.82129
34.1202,-117.82133
34.12034,-117.82155
34.12045,-117.8217
34.1204,-117.8217
34.12036,-117.82176
34.12034,-117.82192
34.12043,-117.82205
34.12033,-117.82232
34.12055,-117.82233
34.12051,-117.82245
34.12071,-117.82264
34.1205,-117.8227
34.12045,-117.82275
34.1205,-117.8228
34.12045,-117.82283
34.12062,-117.82314
34.12046,-117.82314
34.12065,-117.82316
34.12056,-117.82316
34.12056,-117.82329
34.12048,-117.82339
34.1206,-117.82342
34.12051,-117.82347
34.12055,-117.8235
34.12052,-117.82351
34.12052,-117.82352
34.12032,-117.82357
34.12053,-117.82359
34.12059,-117.82369
34.12058,-117.82369
34.12053,-117.82375
34.12062,-117.82376
34.12058,-117.82379
34.12061,-117.8238
34.12058,-117.82384
34.1206,-117.8239
34.12051,-117.82399
34.12062,-117.82408
34.12062,-117.82409
34.12049,-117.82413
34.12031,-117.82413
34.12062,-117.82414
34.12065,-117.82432
34.12035,-117.82432
34.12036,-117.82433
34.12069,-117.82435
34.12062,-117.82445
34.11817,-117.82447
34.12068,-117.82449
34.12064,-117.8245
34.12071,-117.82451
34.12065,-117.82451
34.12066,-117.82459
34.1185,-117.8246
34.11785,-117.82465
34.1207,-117.82473
34.11872,-117.82476
34.12055,-117.82486
34.11885,-117.82498
34.12053,-117.82512
34.12042,-117.82514
34.12073,-117.82516
34.12058,-117.82518
34.12057,-117.82518
34.12075,-117.82527
34.12044,-117.82532
34.12087,-117.82537
34.12058,-117.8255
34.1208,-117.82552
34.11928,-117.82553
34.11919,-117.82553
34.1193,-117.82556
34.11941,-117.82561
34.12054,-117.82563
34.12062,-117.82565
34.11938,-117.82572
34.11948,-117.82575
34.1195,-117.82587
34.1205,-117.82588
34.11956,-117.826
34.11964,-117.82601
34.11957,-117.82605
34.12072,-117.82619
34.12075,-117.82623
34.11961,-117.82623
34.1198,-117.82624
34.12096,-117.82626
34.12069,-117.82639
34.12078,-117.8264
34.1199,-117.82651
34.12053,-117.82654
34.1208,-117.82661
34.12077,-117.82661
34.12085,-117.82663
34.12071,-117.82668
34.12067,-117.82674
34.11998,-117.82679
34.11998,-117.82685
34.12054,-117.82693
34.12089,-117.82708
34.11991,-117.82713
34.12099,-117.82718
34.12098,-117.82735
34.12056,-117.82739
34.12087,-117.82744
34.12098,-117.8275
34.12104,-117.82752
34.12004,-117.82752
34.12013,-117.82757
34.12105,-117.82771
34.12128,-117.82779
34.12075,-117.82786
34.12009,-117.8279
34.12107,-117.82798
34.12096,-117.82802
34.12106,-117.82803
34.12102,-117.8281
34.121,-117.82815
34.12088,-117.82823
34.12085,-117.82827
34.1209,-117.8283
34.12098,-117.82834
34.12089,-117.82835
34.12081,-117.82836
34.12134,-117.82837
34.12104,-117.8284
34.12102,-117.82844
34.121,-117.8285
34.12084,-117.8285
34.1208,-117.8285
34.12101,-117.82851
34.12295,-117.82854
34.12086,-117.82858
34.121,-117.8286
34.12142,-117.82865
34.12049,-117.82868
34.1209,-117.82873
34.12106,-117.82876
34.12086,-117.82879
34.1214,-117.8288
34.12108,-117.82881
34.12101,-117.82881
34.1206,-117.82887
34.12101,-117.82901
34.11847,-117.82907
34.1209,-117.82913
34.12047,-117.82919
34.121,-117.8292
34.12052,-117.82921
34.12095,-117.82922
34.12106,-117.82928
34.1203,-117.8293
34.12144,-117.82935
34.12109,-117.82935
34.12106,-117.82937
34.1205,-117.8294
34.12118,-117.82945
34.12112,-117.82957
34.1211,-117.82965
34.12101,-117.82966
34.12108,-117.82967
34.12122,-117.82969
34.12113,-117.82973
34.12094,-117.82973
34.12062,-117.82977
34.12115,-117.82982
34.12115,-117.82987
34.12082,-117.82996
